method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Simple OR,slow_drift,120,120,0,60,0.5,0.5,60,0,,1.0,0.5,5450.0,7209.999999999999,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,120,0.5,120,0.5,120,0.5,0,0,60,1.0,1.0,0.0,0.0,0,0,0.41193870541108385,0.5880612945889161
Simple OR,weak_steps,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,4700.0,5600.0,0,0.0,0,0,0.0,0.0,,0.0,30,1.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,1.0,1.0,0.0,0.0,0,0,0.3773502424155577,0.6226497575844423
Simple OR,pulses,60,60,0,45,0.75,0.75,14,0,,1.0,0.75,200.0,7300.0,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,60,0.75,60,0.75,58,0.7586206896551724,21,0,23,1.0,1.0,0.0,0.0,0,0,0.6276792992295218,0.8422347746994333
Simple OR,step_or_pulse,120,120,0,75,0.625,0.625,44,0,,1.0,0.625,4000.0,7159.999999999999,0,0.0,0,0,0.0,0.0,,0.0,75,1.0,0,0,0,120,0.625,120,0.625,118,0.6271186440677966,21,0,53,1.0,1.0,0.0,0.0,0,0,0.5357695062597921,0.706475702135532
Simple OR,effective_memory,184,184,0,168,0.9130434782608695,0.9130434782608695,16,0,,1.0,0.9130434782608695,0.0,6600.0,0,0.0,0,0,0.0,0.0,,0.0,168,1.0,0,0,0,184,0.9130434782608695,182,0.9120879120879121,182,0.9120879120879121,151,0,15,1.0,1.0,0.0,0.0,0,0,0.8634258560641321,0.9457671780737311
Simple OR,dormant_memory,56,56,0,11,0.19642857142857142,0.19642857142857142,0,0,,1.0,0.19642857142857142,6200.0,7150.0,0,0.0,0,0,0.0,0.0,,0.0,11,1.0,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,0.11338595674323658,0.31844607626458404
Simple OR,slow_negative,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,5850.0,7400.0,0,0.0,0,0,0.0,0.0,,0.0,30,1.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,1.0,1.0,0.0,0.0,0,0,0.3773502424155577,0.6226497575844423
Simple OR,slow_positive,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,5050.0,6509.999999999999,0,0.0,0,0,0.0,0.0,,0.0,30,1.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,1.0,1.0,0.0,0.0,0,0,0.3773502424155577,0.6226497575844423
Simple OR,slow_rise_7000,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,5750.0,7410.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Simple OR,slow_rise_19000,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,5450.0,7210.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Simple OR,slow_rise_47000,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,5150.0,6810.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Simple OR,communication_duration_200,48,48,0,16,0.3333333333333333,0.3333333333333333,0,0,,1.0,0.3333333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,16,1.0,0,0,0,48,0.3333333333333333,48,0.3333333333333333,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,0.21676780694818568,0.4745989029405201
Simple OR,communication_duration_700,45,45,0,45,1.0,1.0,0,0,,1.0,1.0,200.0,5959.999999999999,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,45,1.0,45,1.0,8,1.0,8,0,0,1.0,1.0,0.0,0.0,0,0,0.9213484012671117,1
Simple OR,communication_duration_2300,42,42,0,22,0.5238095238095238,0.5238095238095238,1,0,,1.0,0.5238095238095238,0.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,22,1.0,0,0,0,42,0.5238095238095238,42,0.5238095238095238,13,0.9230769230769231,12,0,0,1.0,1.0,0.0,0.0,0,0,0.3772246413134498,0.6664039876929454
Simple OR,communication_duration_13100,45,45,0,45,1.0,1.0,0,0,,1.0,1.0,200.0,5759.999999999999,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,45,1.0,45,1.0,41,1.0,41,0,0,1.0,1.0,0.0,0.0,0,0,0.9213484012671117,1
Simple OR,pump_degraded,180,180,0,111,0.6166666666666667,0.6166666666666667,69,0,,1.0,0.6166666666666667,4300.0,7000.0,0,0.0,0,0,0.0,0.0,,0.0,111,1.0,0,0,0,180,0.6166666666666667,180,0.6166666666666667,180,0.6166666666666667,36,0,75,1.0,1.0,0.0,0.0,0,0,0.5439052747311439,0.6845524424204796
Simple OR,fan_stuck_off,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,200.0,400.0,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,47,4,9,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
Simple OR,delayed_update,80,80,0,49,0.6125,0.6125,6,0,,1.0,0.6125,200.0,4619.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.8421052631578947,32,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Simple OR,dropped_update,80,80,0,49,0.6125,0.6125,2,0,,1.0,0.6125,200.0,6119.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.9473684210526315,36,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Simple OR,replayed_sample,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,80,1.0,0,0,0,80,1.0,80,1.0,43,1.0,43,0,0,1.0,1.0,0.0,0.0,0,0,0.9541818704644728,0.9999999999999999
Simple OR,benign_static_target,150,0,150,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,,
Simple OR,slow_static_target,60,60,0,0,0.0,0.0,60,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,60,0.0,60,0.0,60,0.0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.06017185214208986
Simple OR,benign_authorized_updates,150,0,150,0,,,0,150,1.0,0.0,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,,
Simple OR,slow_authorized_updates,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,5450.0,7209.999999999999,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,0,0,60,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
Plain DS,slow_drift,120,120,0,60,0.5,0.5,60,0,,1.0,0.5,5450.0,7209.999999999999,60,1.0,0,60,0.0,0.0,0.0,1.0,0,0.0,0,0,0,120,0.5,120,0.5,120,0.5,0,0,60,0.42218464378691667,0.42218464378691667,9.332558124219609e-05,9.332558124219609e-05,0,0,0.41193870541108385,0.5880612945889161
Plain DS,weak_steps,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,4700.0,5600.0,30,1.0,0,30,0.0,0.0,0.0,1.0,0,0.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,0.42217583895818334,0.42217583895818334,0.00034389282749974,0.00034389282749974,0,0,0.3773502424155577,0.6226497575844423
Plain DS,pulses,60,60,0,45,0.75,0.75,14,0,,1.0,0.75,200.0,7300.0,15,0.3333333333333333,0,15,0.0,0.0,0.0,0.3333333333333333,30,0.6666666666666666,0,0,0,60,0.75,60,0.75,58,0.7586206896551724,21,0,23,0.4010894848720167,0.4010894848720167,0.03478013165331955,0.03478013165331955,7,7,0.6276792992295218,0.8422347746994333
Plain DS,step_or_pulse,120,120,0,75,0.625,0.625,44,0,,1.0,0.625,4000.0,7159.999999999999,45,0.6,0,45,0.0,0.0,0.0,0.6,30,0.4,0,0,0,120,0.625,120,0.625,118,0.6271186440677966,21,0,53,0.4116326619151,0.4116326619151,0.017562012240409645,0.017562012240409645,7,7,0.5357695062597921,0.706475702135532
Plain DS,effective_memory,184,184,0,153,0.8315217391304348,0.8315217391304348,31,0,,1.0,0.8315217391304348,0.0,6740.000000000001,153,1.0,153,0,1.0,1.0,1.0,0.0,0,0.0,121,0,0,184,0.8315217391304348,182,0.8296703296703297,182,0.8296703296703297,121,0,30,0.39072939646559784,0.39072939646559784,0.008284289612916326,0.008284289612916326,2,2,0.7707887235718943,0.8786951590913908
Plain DS,dormant_memory,56,56,0,11,0.19642857142857142,0.19642857142857142,0,0,,1.0,0.19642857142857142,6200.0,7150.0,11,1.0,11,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.4694317860401964,0.4694317860401964,3.9965590363804644e-05,3.9965590363804644e-05,0,0,0.11338595674323658,0.31844607626458404
