method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Simple OR,COMMUNICATION,240,240,0,178,0.7416666666666667,0.7416666666666667,8,0,,1.0,0.7416666666666667,200.0,5600.0,0,0.0,0,0,0.0,0.0,,0.0,178,1.0,0,0,0,240,0.7416666666666667,240,0.7416666666666667,119,0.9327731092436975,111,0,0,1.0,1.0,0.0,0.0,0,0,0.6827876793698161,0.7929312593250971
Simple OR,SENSOR_CONTROL,240,240,0,135,0.5625,0.5625,104,0,,1.0,0.5625,4600.0,7230.0,0,0.0,0,0,0.0,0.0,,0.0,135,1.0,0,0,0,240,0.5625,240,0.5625,238,0.5630252100840336,21,0,113,1.0,1.0,0.0,0.0,0,0,0.49924250699978995,0.6237882530075151
Simple OR,ACTUATOR,240,240,0,171,0.7125,0.7125,69,0,,1.0,0.7125,400.0,6800.0,0,0.0,0,0,0.0,0.0,,0.0,171,1.0,0,0,0,240,0.7125,240,0.7125,240,0.7125,83,4,84,1.0,1.0,0.0,0.0,0,0,0.6522462362116623,0.7660583478131753
Simple OR,effective_memory,184,184,0,168,0.9130434782608695,0.9130434782608695,16,0,,1.0,0.9130434782608695,0.0,6600.0,0,0.0,0,0,0.0,0.0,,0.0,168,1.0,0,0,0,184,0.9130434782608695,182,0.9120879120879121,182,0.9120879120879121,151,0,15,1.0,1.0,0.0,0.0,0,0,0.8634258560641321,0.9457671780737311
Simple OR,dormant_memory,56,56,0,11,0.19642857142857142,0.19642857142857142,0,0,,1.0,0.19642857142857142,6200.0,7150.0,0,0.0,0,0,0.0,0.0,,0.0,11,1.0,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,0.11338595674323658,0.31844607626458404
Simple OR,weak_isolated_bias,40,40,0,20,0.5,0.5,20,0,,1.0,0.5,4700.0,5610.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,40,0.5,40,0.5,40,0.5,0,0,20,1.0,1.0,0.0,0.0,0,0,0.35199526933465386,0.6480047306653461
Simple OR,baseline,300,0,300,0,,,0,150,0.5,0.0,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,,
Simple OR,bit_flip,60,60,0,54,0.9,0.9,6,0,,1.0,0.9,0.0,5100.0,0,0.0,0,0,0.0,0.0,,0.0,54,1.0,0,0,0,60,0.9,60,0.9,60,0.9,48,0,6,1.0,1.0,0.0,0.0,0,0,0.7985053527602123,0.9533571655261158
Simple OR,deadline_miss,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,120,1.0,0,0,0,120,1.0,120,1.0,79,1.0,79,0,0,1.0,1.0,0.0,0.0,0,0,0.9689808335812966,1
Simple OR,delayed_update,80,80,0,49,0.6125,0.6125,6,0,,1.0,0.6125,200.0,4619.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.8421052631578947,32,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Simple OR,dropped_update,80,80,0,49,0.6125,0.6125,2,0,,1.0,0.6125,200.0,6119.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.9473684210526315,36,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Simple OR,fan_stuck_off,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,200.0,400.0,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,47,4,9,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
Simple OR,pump_degraded,180,180,0,111,0.6166666666666667,0.6166666666666667,69,0,,1.0,0.6166666666666667,4300.0,7000.0,0,0.0,0,0,0.0,0.0,,0.0,111,1.0,0,0,0,180,0.6166666666666667,180,0.6166666666666667,180,0.6166666666666667,36,0,75,1.0,1.0,0.0,0.0,0,0,0.5439052747311439,0.6845524424204796
Simple OR,replayed_sample,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,80,1.0,0,0,0,80,1.0,80,1.0,43,1.0,43,0,0,1.0,1.0,0.0,0.0,0,0,0.9541818704644728,0.9999999999999999
